Year,Value
1970,26.0646245978059
1971,27.1681801644102
1972,28.5423320550641
1973,31.6311903031997
1974,33.5815923537051
1975,31.7853095919465
1976,31.0736860167674
1977,30.4784015551137
1978,29.5539937102245
1979,30.5122243614584
1980,31.2613046980955
1981,32.9484407605874
1982,30.9370946557431
1983,29.9200951774954
1984,31.3654261286792
1985,32.4102892933833
1986,32.064660318096
1987,31.4659704503629
1988,36.031033647495
1989,42.2437229817661
1990,40.3047626091603
1991,39.8763831167969
1992,39.750713091613
1993,39.95425346776
1994,40.7412490439402
1995,40.1246521552845
1996,39.6569427250647
1997,40.7104303185694
1998,43.1238644739231
1999,45.7280696211647
2000,47.8939324354617
2001,51.4754552203861
2002,59.5399061336412
2003,68.8853491806367
2004,72.1577325829864
2005,71.9232062755773
2006,74.2434999758168
2007,79.5711350975513
2008,80.1881043431487
2009,81.3585788875007
2010,89.0187557387104
2011,85.2264820858376
2012,83.0595260425517
2013,86.620985806159
2014,92.9041983062435
2015,100.0
2016,104.844664019751
2017,112.195557906333
2018,108.78130191648
2019,102.488286942783
2020,106.661359718641
2021,122.793406011289
2022,124.484650610503
