Year,Value
1973,9.36645492083801
1974,10.4147668018458
1975,12.1239765154971
1976,13.901551737694
1977,15.4284444285555
1978,16.7046520880815
1979,18.1175972646996
1980,19.3482274185284
1981,20.9206951150868
1982,23.3819529227441
1983,25.4557906819738
1984,27.3245234155654
1985,29.6490487061311
1986,32.7028265878533
1987,36.0756670094584
1988,40.200552525069
1989,44.0063855007982
1990,46.6271708283963
1991,48.1540635192579
1992,48.6098560762319
1993,48.8377461047182
1994,49.1795861474482
1995,50.0227937528492
1996,51.5496864437108
1997,53.0537916317239
1998,54.6718393339799
1999,56.1303620162952
2000,57.8623622327952
2001,59.6627224578402
2002,61.1440351430043
2003,62.2835102854387
2004,63.8559779819972
2005,65.2689231586153
2006,67.3883384235422
2007,71.0802288850285
2008,76.6408470801058
2009,81.7456827182102
2010,85.300833162604
2011,89.2206111525763
2012,92.9125016140626
2013,95.9662819957851
2014,98.3819622977452
2015,100.0
2016,100.752062594008
2017,101.39016267377
2018,102.051037756379
2019,102.415712801964
2020,101.458537682317
2021,101.27623765953
2022,103.646337955936
