Year,Value
1970,71.3233258598908
1971,73.184421089809
1972,74.4664906425656
1973,77.1132487575787
1974,78.2693433658875
1975,72.7849043447033
1976,72.3894746992142
1977,70.9449623284278
1978,67.6153107417395
1979,68.337295610532
1980,69.496677649947
1981,71.6651073605941
1982,67.0919899400754
1983,65.6253696162719
1984,67.3575510578343
1985,69.8555608054423
1986,69.7928152046724
1987,69.3614371243294
1988,77.9496170640859
1989,87.9258585388525
1990,82.9879366848436
1991,84.4927776897151
1992,83.3155833606127
1993,83.3309734741802
1994,82.4590934822533
1995,80.0715584485074
1996,76.7370266549926
1997,77.0423109942323
1998,81.7248865415398
1999,83.7808180861742
2000,85.9165428935877
2001,88.3958681472451
2002,102.954568524947
2003,116.266453891394
2004,115.565465751485
2005,111.940730041876
2006,113.786198418304
2007,115.928396825562
2008,112.525714773933
2009,111.421516544371
2010,119.604081283745
2011,109.951590814675
2012,108.108770328068
2013,112.172472572888
2014,118.094846118704
2015,126.907072271282
2016,133.398202267742
2017,142.637853015031
2018,136.512512144665
2019,127.548787090736
2020,127.178375042315
2021,143.974128344068
2022,149.597877947971
