Year,Value
1973,55.442969408652
1974,61.056661698904
1975,58.1524332512767
1976,56.5054898244979
1977,55.0511632762256
1978,53.4690965996949
1979,55.771694852774
1980,59.0369494884103
1981,62.8765077791061
1982,58.325788900983
1983,56.5691213323715
1984,58.7704973673259
1985,59.7002489195201
1986,57.9054213811618
1987,55.513764152159
1988,60.925279870675
1989,69.5666776871483
1990,66.6567354050932
1991,66.2030985691912
1992,66.589154083134
1993,68.006220058905
1994,69.9521734893926
1995,69.6088731375437
1996,68.089204913515
1997,68.8026711523144
1998,71.6755526068453
1999,74.8701882915439
2000,78.668787791926
2001,84.8425404681525
2002,98.309780049585
2003,113.909092003744
2004,118.085787686947
2005,117.638206051298
2006,121.792457835759
2007,127.592947177499
2008,123.175977480539
2009,119.987208446089
2010,128.486472331749
2011,120.222286291204
2012,115.038658008601
2013,118.732286024796
2014,126.315395187692
2015,135.490428495418
2016,141.878034548809
2017,152.761123608708
2018,149.593967791641
2019,142.997208610138
2020,152.142258454963
2021,178.948765064608
2022,186.559846162544
