"COU","Country","IND","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1970","1970","1","RATIOS","0","Units",,,83.123831784268,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1970-Q1","Q1-1970","1","RATIOS","0","Units",,,81.5055765571861,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1970-Q2","Q2-1970","1","RATIOS","0","Units",,,84.1233975003173,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1970-Q3","Q3-1970","1","RATIOS","0","Units",,,83.6720973632531,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1970-Q4","Q4-1970","1","RATIOS","0","Units",,,83.1942557163153,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1971","1971","1","RATIOS","0","Units",,,81.1760143955914,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1971-Q1","Q1-1971","1","RATIOS","0","Units",,,82.3790276292398,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1971-Q2","Q2-1971","1","RATIOS","0","Units",,,82.0913809135035,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1971-Q3","Q3-1971","1","RATIOS","0","Units",,,79.9806951845227,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1971-Q4","Q4-1971","1","RATIOS","0","Units",,,80.2529538550996,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1972","1972","1","RATIOS","0","Units",,,77.4074435912491,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1972-Q1","Q1-1972","1","RATIOS","0","Units",,,78.5042233583983,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1972-Q2","Q2-1972","1","RATIOS","0","Units",,,77.2138836471473,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1972-Q3","Q3-1972","1","RATIOS","0","Units",,,77.4383862101271,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1972-Q4","Q4-1972","1","RATIOS","0","Units",,,76.4732811493237,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1973","1973","1","RATIOS","0","Units",,,79.7381612516689,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1973-Q1","Q1-1973","1","RATIOS","0","Units",,,76.8276214675674,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1973-Q2","Q2-1973","1","RATIOS","0","Units",,,77.1099879602001,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1973-Q3","Q3-1973","1","RATIOS","0","Units",,,81.3815268766571,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1973-Q4","Q4-1973","1","RATIOS","0","Units",,,83.633508702251,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1974","1974","1","RATIOS","0","Units",,,87.0911621992675,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1974-Q1","Q1-1974","1","RATIOS","0","Units",,,87.7463863275793,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1974-Q2","Q2-1974","1","RATIOS","0","Units",,,91.6539973210434,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1974-Q3","Q3-1974","1","RATIOS","0","Units",,,86.6749151027446,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1974-Q4","Q4-1974","1","RATIOS","0","Units",,,82.2893500457027,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1975","1975","1","RATIOS","0","Units",,,83.9002470306529,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1975-Q1","Q1-1975","1","RATIOS","0","Units",,,83.4868223387255,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1975-Q2","Q2-1975","1","RATIOS","0","Units",,,84.3054883321511,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1975-Q3","Q3-1975","1","RATIOS","0","Units",,,83.7715528584274,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1975-Q4","Q4-1975","1","RATIOS","0","Units",,,84.0371245933075,,
